recall_TopPush,precision_TopPush,recall_TopPushK,precision_TopPushK,recall_PatMatNP,precision_PatMatNP
0.1,0.9900990099009901,0.11,1.0,0.11,1.0
0.099,0.99,0.1,1.0,0.1,1.0
0.098,0.98989898989899,0.099,1.0,0.099,1.0
0.097,0.9897959183673469,0.098,1.0,0.098,1.0
0.096,0.9896907216494846,0.097,1.0,0.097,1.0
0.095,0.9895833333333334,0.096,1.0,0.096,1.0
0.095,1.0,0.095,1.0,0.095,1.0
0.094,1.0,0.094,1.0,0.094,1.0
0.093,1.0,0.093,1.0,0.093,1.0
0.092,1.0,0.092,1.0,0.092,1.0
0.091,1.0,0.091,1.0,0.091,1.0
0.09,1.0,0.09,1.0,0.09,1.0
0.089,1.0,0.089,1.0,0.089,1.0
0.088,1.0,0.088,1.0,0.088,1.0
0.087,1.0,0.087,1.0,0.087,1.0
0.086,1.0,0.086,1.0,0.086,1.0
0.085,1.0,0.085,1.0,0.085,1.0
0.084,1.0,0.084,1.0,0.084,1.0
0.083,1.0,0.083,1.0,0.083,1.0
0.082,1.0,0.082,1.0,0.082,1.0
0.081,1.0,0.081,1.0,0.081,1.0
0.08,1.0,0.08,1.0,0.08,1.0
0.079,1.0,0.079,1.0,0.079,1.0
0.078,1.0,0.078,1.0,0.078,1.0
0.077,1.0,0.077,1.0,0.077,1.0
0.076,1.0,0.076,1.0,0.076,1.0
0.075,1.0,0.075,1.0,0.075,1.0
0.074,1.0,0.074,1.0,0.074,1.0
0.073,1.0,0.073,1.0,0.073,1.0
0.072,1.0,0.072,1.0,0.072,1.0
0.071,1.0,0.071,1.0,0.071,1.0
0.071,1.0,0.071,1.0,0.071,1.0
0.069,1.0,0.069,1.0,0.069,1.0
0.069,1.0,0.069,1.0,0.069,1.0
0.067,1.0,0.067,1.0,0.067,1.0
0.067,1.0,0.067,1.0,0.067,1.0
0.065,1.0,0.065,1.0,0.065,1.0
0.065,1.0,0.065,1.0,0.065,1.0
0.063,1.0,0.063,1.0,0.063,1.0
0.062,1.0,0.062,1.0,0.062,1.0
0.061,1.0,0.061,1.0,0.061,1.0
0.06,1.0,0.06,1.0,0.06,1.0
0.059,1.0,0.059,1.0,0.059,1.0
0.058,1.0,0.058,1.0,0.058,1.0
0.057,1.0,0.057,1.0,0.057,1.0
0.056,1.0,0.056,1.0,0.056,1.0
