xneg_TopPush,yneg_TopPush,xpos_TopPush,ypos_TopPush,xquant_TopPush,yquant_TopPush
-16.159759253905605,0.023611489900116776,1.3322780517289925,0.0061562776765660574,,
-15.717862531537493,0.023108593928654136,1.6920726858124682,0.006469369176509838,,
-15.27596580916938,0.022573351744442943,2.051867319895944,0.006791727125022334,,
-14.834069086801268,0.02201360138836437,2.41166195397942,0.007123720400864306,,
-14.392172364433156,0.02143889036089325,2.771456588062896,0.007468642758098154,,
-13.950275642065042,0.02085918025789737,3.1312512221463717,0.007834063378218263,,
-13.50837891969693,0.02028395367192854,3.4910458562298476,0.008232561008425496,,
-13.066482197328817,0.019721563723525716,3.8508404903133235,0.008681332537138146,,
-12.624585474960705,0.01917868925785759,4.210635124396799,0.009200547502790233,,
-12.182688752592593,0.018659916384128082,4.570429758480275,0.009810778625916165,,
-11.74079203022448,0.018167596347442964,4.930224392563751,0.010530183053469934,,
