xneg_PatMatNP,yneg_PatMatNP,xpos_PatMatNP,ypos_PatMatNP,xquant_PatMatNP,yquant_PatMatNP
-179.38876989553805,0.0032794181584873882,-44.68795229748415,0.001369221998513341,,
-174.3206866771269,0.00328804720700534,-40.260757791742236,0.0014712667775736692,,
-169.25260345871573,0.0032885015993246378,-35.83356328600033,0.00157828155837755,,
-164.18452024030455,0.0032812469004007737,-31.406368780258408,0.0016933557501918617,,
-159.11643702189338,0.0032666581099913806,-26.979174274516495,0.0018198618480133818,,
-154.04835380348223,0.003245217359301829,-22.55197976877458,0.0019602735928466943,,
-148.98027058507105,0.003217499639337788,-18.124785263032667,0.002115558744410878,,
-143.91218736665988,0.0031839406400181003,-13.697590757290751,0.002285312100006376,,
-138.8441041482487,0.0031445636590186005,-9.270396251548837,0.002468419644260172,,
-133.77602092983756,0.003098912225588566,-4.843201745806922,0.002663743996078252,,
-128.70793771142638,0.003046323407176754,-0.41600724006500733,0.0028703010580860178,,
-123.6398544930152,0.002986442783178113,4.011187265676908,0.003086745519148626,,
-118.57177127460405,0.0029196820365721405,8.438381771418822,0.003310533263030131,,
-113.50368805619287,0.0028473011815966297,12.865576277160736,0.003537503610497907,,
-108.43560483778171,0.002770994142747546,17.29277078290265,0.0037624872651705085,,
-103.36752161937054,0.0026921610420046825,21.719965288644566,0.003980902614599282,,
-98.29943840095937,0.002611274676903799,26.14715979438648,0.004190568195165483,,
-93.2313551825482,0.0025277383879319603,30.574354300128395,0.004392668009743456,,
-88.16327196413704,0.0024403712441672283,35.00154880587031,0.004591187726082374,,
-83.09518874572586,0.002348290042233209,39.42874331161222,0.00479093478879527,,
-78.0271055273147,0.0022517133606142574,43.85593781735414,0.0049949500315366316,,
-72.95902230890353,0.0021522517726069957,48.283132323096055,0.0052023509245313,,
-67.89093909049237,0.0020525484203916893,52.71032682883797,0.0054074088914862805,,
-62.82285587208119,0.00195549897419952,57.13752133457988,0.005600175153032865,,
-57.754772653670024,0.0018634757983060047,61.564715840321796,0.00576845028745195,,
-52.686689435258856,0.0017779018093195301,65.9919103460637,0.005900473692813212,,
-47.61860621684769,0.0016992514555418897,70.41910485180563,0.005987485249701885,,
-42.55052299843652,0.0016272999474662372,74.84629935754754,0.006025362088154923,,
-37.48243978002535,0.0015613618516370689,79.27349386328946,0.0060148585418889145,,
-32.414356561614184,0.0015003786980330295,83.70068836903137,0.005960461049639829,,
-27.346273343203016,0.0014429150276689662,88.12788287477328,0.005868345490438956,,
-22.27819012479185,0.0013872408165538255,92.5550773805152,0.005744256024981882,,
-17.21010690638068,0.0013316245114600104,96.98227188625711,0.005592197728645105,,
-12.14202368796951,0.001274779051918037,101.40946639199903,0.005414530501240914,,
-7.073940469558343,0.0012162389283530935,105.83666089774094,0.005213350274769515,,
-2.005857251147175,0.0011564355726264724,110.26385540348285,0.004992221301941398,,
3.062225967263993,0.0010963996042149275,114.69104990922477,0.00475693905888699,,
8.130309185675161,0.0010372366830320745,119.11824441496668,0.004514502679839242,,
13.198392404086329,0.0009796438044435104,123.5454389207086,0.0042706928781214015,,
18.2664756224975,0.0009236824064365113,127.97263342645051,0.004027760072753346,,
23.334558840908667,0.0008688606241815371,132.39982793219244,0.0037838436800748556,,
28.402642059319835,0.0008144232168458777,136.82702243793435,0.003534692137608419,,
33.470725277731,0.0007596899381079557,141.25421694367625,0.0032767684982231847,,
38.538808496142174,0.0007043176025307072,145.68141144941816,0.00300996788876281,,
43.60689171455334,0.0006484274827838546,150.1086059551601,0.002738488068810338,,
48.67497493296451,0.0005925889790317002,154.535800460902,0.002469558681534187,,
53.74305815137568,0.0005376784311101056,158.96299496664392,0.002210906364804746,,
58.811141369786846,0.0004846579785084343,163.39018947238583,0.001968321266942047,,
63.879224588198014,0.0004343483788181382,167.81738397812774,0.0017443748697534723,,
68.94730780660917,0.00038728076858253637,172.24457848386967,0.00153859351052185,,
74.01539102502035,0.0003436826865854045,176.67177298961158,0.0013487095377579484,,
79.08347424343151,0.000303588161136867,181.0989674953535,0.001172280599468004,,
84.15155746184269,0.00026699648733303653,185.5261620010954,0.0010079986245164962,,
89.21964068025385,0.00023398105199501988,189.9533565068373,0.0008562631306016111,,
94.28772389866502,0.00020468368141761297,194.38055101257925,0.0007189193662155829,,
99.35580711707618,0.00017920034720033147,198.80774551832116,0.0005983571038721378,,
104.42389033548736,0.0001574288863246765,203.23494002406306,0.0004963622493246572,,
109.49197355389853,0.00013897311241217064,207.66213452980497,0.00041316825865787626,,
114.5600567723097,0.00012316956306280457,212.08932903554688,0.00034706101649514056,,
119.62813999072087,0.00010923966216828673,216.51652354128882,0.00029468265287447865,,
124.69622320913203,9.650464692352569e-5,220.94371804703073,0.00025191970181083934,,
129.7643064275432,8.45667107355788e-5,225.37091255277264,0.00021503241670121147,,
134.83238964595438,7.337454106281363e-5,229.79810705851455,0.00018157811411612297,,
139.90047286436553,6.314653268182459e-5,234.22530156425645,0.00015076816546644918,,
144.9685560827767,5.419133244329185e-5,238.6524960699984,0.00012315722977982447,,
150.03663930118788,4.670953729720913e-5,243.0796905757403,9.987054706632942e-5,,
155.10472251959905,4.0662718212508175e-5,247.5068850814822,8.176337790504834e-5,,
160.1728057380102,3.575936381636904e-5,251.93407958722412,6.887815295447774e-5,,
165.24088895642137,3.155252794289345e-5,256.361274092966,6.0360177784810085e-5,,
170.30897217483255,2.7597019358981683e-5,260.78846859870794,5.475428842467694e-5,,
175.37705539324372,2.3594352599322276e-5,265.21566310444985,5.046767867256906e-5,,
,,269.64285761019175,4.618805504160358e-5,,
,,274.0700521159337,4.1135903056787144e-5,,
