recall_TopPush,precision_TopPush,recall_TopPushK,precision_TopPushK,recall_PatMatNP,precision_PatMatNP
0.038,0.7755102040816326,0.039,1.0,0.04,0.9090909090909091
0.037,0.8222222222222222,0.038,1.0,0.038,0.926829268292683
0.036,0.8181818181818182,0.037,1.0,0.037,0.925
0.035,0.813953488372093,0.036,1.0,0.036,0.9230769230769231
0.034,0.8292682926829268,0.035,1.0,0.035,0.9210526315789473
0.033,0.825,0.034,1.0,0.034,0.9444444444444444
0.032,0.8205128205128205,0.033,1.0,0.033,0.9705882352941176
0.031,0.8157894736842105,0.032,1.0,0.032,0.9696969696969697
0.03,0.8108108108108109,0.031,1.0,0.031,0.96875
0.029,0.8055555555555556,0.03,1.0,0.03,0.967741935483871
0.028,0.875,0.029,1.0,0.029,1.0
0.027,0.8709677419354839,0.028,1.0,0.028,1.0
0.026,0.8666666666666667,0.027,1.0,0.027,1.0
0.025,0.8620689655172413,0.026,1.0,0.026,1.0
0.024,0.8571428571428571,0.025,1.0,0.025,1.0
0.023,0.8846153846153846,0.024,1.0,0.024,1.0
0.022,0.88,0.023,1.0,0.023,1.0
0.021,0.875,0.022,1.0,0.022,1.0
0.02,0.8695652173913043,0.021,1.0,0.021,1.0
0.019,0.8636363636363636,0.02,1.0,0.02,1.0
0.018,0.8571428571428571,0.019,1.0,0.019,1.0
0.017,0.8947368421052632,0.018,1.0,0.018,1.0
0.016,0.8888888888888888,0.017,1.0,0.017,1.0
0.015,0.8823529411764706,0.016,1.0,0.016,1.0
0.014,0.875,0.015,1.0,0.015,1.0
0.013,0.9285714285714286,0.014,1.0,0.014,1.0
0.012,0.9230769230769231,0.013,1.0,0.013,1.0
0.011,0.9166666666666666,0.012,1.0,0.012,1.0
0.01,0.9090909090909091,0.011,1.0,0.011,1.0
0.009,0.9,0.01,1.0,0.01,1.0
0.008,0.8888888888888888,0.009,1.0,0.009,1.0
0.007,0.875,0.008,1.0,0.008,1.0
0.006,0.8571428571428571,0.007,1.0,0.007,1.0
0.006,1.0,0.006,1.0,0.006,1.0
0.005,1.0,0.005,1.0,0.005,1.0
0.004,1.0,0.004,1.0,0.004,1.0
0.003,1.0,0.003,1.0,0.003,1.0
0.002,1.0,0.002,1.0,0.002,1.0
0.001,1.0,0.001,1.0,0.001,1.0
0.001,1.0,0.001,1.0,0.001,1.0
