xneg_TopPush,yneg_TopPush,xpos_TopPush,ypos_TopPush,xquant_TopPush,yquant_TopPush
-413.83174284180024,0.00011298558937640942,-188.49322384336762,6.798235470833394e-5,,
-409.85118046210613,0.00012440639874866693,-185.39916813064528,5.598100631904723e-5,,
-405.870618082412,0.00013685220645428268,-182.30511241792294,4.609009707340309e-5,,
-401.8900557027179,0.0001502783112707226,-179.2110567052006,3.916202980926818e-5,,
-397.90949332302375,0.00016439734882757362,-176.11700099247824,3.5637884759150856e-5,,
-393.92893094332965,0.0001789299616228388,-173.0229452797559,3.558089860739376e-5,,
-389.94836856363554,0.0001939349020846614,-169.92888956703356,3.87870087242153e-5,,
-385.9678061839414,0.0002099943903381205,-166.83483385431123,4.4937828999664434e-5,,
-381.98724380424727,0.00022811298033529202,-163.7407781415889,5.375556599270942e-5,,
-378.00668142455316,0.00024938203010021017,-160.64672242886655,6.51228393786208e-5,,
-374.02611904485906,0.0002745979073357075,-157.5526667161442,7.914213468729312e-5,,
-370.0455566651649,0.0003039878780660754,-154.45861100342185,9.612734221123836e-5,,
-366.0649942854708,0.00033706388054361575,-151.3645552906995,0.00011653869519940987,,
-362.0844319057767,0.0003725672989133405,-148.27049957797718,0.00014088572552118172,,
-358.1038695260826,0.0004085548080903574,-145.17644386525484,0.00016962527628267007,,
-354.1233071463884,0.00044276688602897456,-142.0823881525325,0.00020307305892860368,,
-350.1427447666943,0.00047332812849566226,-138.98833243981014,0.00024133406110898455,,
-346.1621823870002,0.0004995571330500144,-135.8942767270878,0.00028424872111743244,,
-342.1816200073061,0.0005224479958160428,-132.80022101436546,0.00033135436385360595,,
-338.20105762761193,0.0005444630151357005,-129.70616530164313,0.00038187290001391583,,
-334.2204952479178,0.0005686453473487878,-126.61210958892079,0.0004347463313989045,,
-330.2399328682237,0.0005974698811251342,-123.51805387619844,0.0004887397852406844,,
-326.25937048852956,0.0006320080234975025,-120.4239981634761,0.0005426133132563719,,
-322.27880810883545,0.000671776227761152,-117.32994245075376,0.0005953360834361396,,
-318.29824572914134,0.0007152132905968633,-114.23588673803143,0.0006462958850119521,,
-314.31768334944724,0.000760387143254683,-111.14183102530907,0.0006954571083069267,,
-310.3371209697531,0.0008055104882987707,-108.04777531258674,0.0007434428549927708,,
-306.35655859005897,0.0008491357116464527,-104.9537195998644,0.0007915472736805568,,
-302.37599621036486,0.0008902269074814005,-101.85966388714205,0.0008417011990073578,,
-298.39543383067075,0.0009283627308426444,-98.76560817441971,0.0008964043037363865,,
-294.4148714509766,0.0009640674822805558,-95.67155246169737,0.0009586061307031741,,
-290.4343090712825,0.0009989822418824319,-92.57749674897502,0.0010314904618622459,,
-286.4537466915884,0.0010355984915309665,-89.48344103625269,0.00111812022779524,,
